iter	Passed	Remaining
406	3332	4855
407	3342	4850
408	3345	4833
409	3347	4817
410	3355	4808
411	3360	4796
412	3365	4783
413	3372	4773
414	3374	4756
415	3376	4740
416	3379	4724
417	3382	4708
418	3389	4699
419	3391	4684
420	3394	4668
421	3397	4653
422	3399	4637
423	3403	4623
424	3407	4610
425	3411	4597
426	3418	4587
427	3420	4571
428	3423	4556
429	3425	4541
430	3428	4525
431	3435	4516
432	3438	4502
433	3440	4487
434	3443	4472
435	3445	4457
436	3452	4448
437	3458	4437
438	3462	4424
439	3465	4410
440	3467	4395
441	3470	4380
442	3472	4366
443	3479	4356
444	3481	4342
445	3484	4328
446	3486	4313
447	3489	4299
448	3495	4288
449	3498	4276
450	3505	4267
451	3512	4258
452	3515	4244
453	3517	4230
454	3520	4217
455	3523	4203
456	3530	4194
457	3533	4181
458	3535	4167
459	3538	4153
460	3543	4143
461	3547	4131
462	3554	4122
463	3557	4109
464	3561	4097
465	3564	4084
466	3568	4072
467	3570	4058
468	3575	4048
469	3578	4035
470	3581	4022
471	3583	4008
472	3586	3995
473	3588	3982
474	3595	3973
475	3601	3964
476	3604	3952
477	3608	3940
478	3613	3930
479	3616	3917
480	3623	3909
481	3625	3896
482	3628	3883
483	3630	3870
484	3633	3857
485	3636	3846
486	3641	3836
487	3645	3824
488	3650	3814
489	3652	3801
490	3655	3789
491	3659	3778
492	3662	3766
493	3668	3757
494	3671	3745
495	3673	3732
496	3676	3720
497	3678	3708
498	3686	3701
499	3691	3691
500	3694	3679
501	3701	3671
502	3705	3661
503	3709	3650
504	3717	3643
505	3719	3631
506	3722	3619
507	3724	3607
508	3727	3595
509	3772	3624
510	3774	3612
511	3777	3600
512	3779	3588
513	3786	3580
514	3792	3571
515	3800	3564
516	3805	3555
517	3811	3546
518	3818	3538
519	3820	3526
520	3823	3514
521	3825	3503
522	3828	3491
523	3834	3482
524	3855	3488
525	3858	3476
526	3860	3465
527	3863	3453
528	3869	3445
529	3872	3434
530	3874	3422
531	3877	3410
532	3879	3399
533	3886	3391
534	3891	3382
535	3896	3373
536	3903	3365
537	3906	3354
538	3913	3347
539	3916	3335
540	3918	3324
541	3921	3313
542	3923	3302
543	3930	3294
544	3935	3285
545	3940	3276
546	3962	3281
547	3965	3271
548	3968	3259
549	3970	3248
550	3972	3237
551	3983	3233
552	3990	3225
553	3996	3217
554	3999	3206
555	4001	3195
556	4003	3184
557	4006	3173
558	4011	3165
559	4015	3155
560	4021	3146
561	4026	3137
562	4030	3128
563	4037	3121
564	4042	3112
565	4045	3101
566	4047	3091
567	4050	3080
568	4052	3069
569	4060	3063
570	4063	3052
571	4065	3042
572	4068	3031
573	4070	3020
574	4078	3014
575	4084	3006
576	4087	2996
577	4094	2989
578	4096	2978
579	4098	2968
580	4100	2957
581	4103	2947
582	4109	2939
583	4113	2930
584	4120	2922
585	4125	2914
586	4130	2905
587	4135	2897
588	4142	2890
589	4145	2880
590	4147	2870
591	4150	2860
592	4152	2850
593	4158	2842
594	4161	2832
595	4164	2822
596	4166	2812
597	4172	2804
598	4174	2794
599	4178	2785
600	4182	2776
601	4185	2767
602	4187	2757
603	4190	2747
604	4192	2737
605	4198	2729
606	4201	2720
607	4203	2710
608	4206	2700
609	4208	2690
610	4216	2684
611	4224	2678
612	4232	2672
613	4235	2662
614	4238	2653
615	4240	2643
616	4245	2635
617	4249	2626
618	4255	2619
619	4259	2610
620	4265	2603
621	4268	2594
622	4271	2584
623	4273	2575
624	4275	2565
625	4282	2558
626	4284	2549
627	4287	2539
628	4289	2530
629	4292	2520
630	4299	2514
631	4304	2506
632	4308	2497
633	4314	2490
634	4316	2481
635	4319	2472
636	4321	2462
637	4324	2453
638	4331	2447
639	4334	2438
640	4336	2428
641	4339	2419
642	4341	2410
643	4355	2407
644	4359	2399
645	4365	2392
646	4367	2383
647	4370	2374
648	4372	2364
649	4380	2358
650	4383	2349
651	4385	2340
652	4388	2331
653	4390	2322
654	4400	2317
655	4407	2311
656	4413	2303
657	4415	2295
658	4418	2286
659	4420	2277
660	4422	2268
661	4424	2259
662	4428	2250
663	4430	2242
664	4433	2233
665	4435	2224
666	4438	2215
667	4441	2207
668	4446	2199
669	4450	2191
670	4475	2194
671	4478	2185
672	4480	2177
673	4482	2168
674	4485	2159
675	4489	2151
676	4494	2144
677	4499	2136
678	4506	2130
679	4511	2123
680	4514	2114
681	4522	2108
682	4525	2100
683	4527	2091
684	4530	2083
685	4539	2077
686	4547	2071
687	4552	2064
688	4555	2056
689	4557	2047
690	4560	2039
691	4565	2031
692	4568	2023
693	4571	2015
694	4573	2007
695	4575	1998
696	4580	1991
697	4585	1983
698	4592	1977
699	4599	1971
700	4603	1963
701	4607	1956
702	4615	1949
703	4618	1941
704	4620	1933
705	4623	1925
706	4625	1917
707	4632	1910
708	4637	1903
709	4641	1895
710	4647	1889
711	4650	1881
712	4652	1872
713	4655	1864
714	4658	1856
715	4666	1850
716	4669	1842
717	4671	1834
718	4673	1826
719	4676	1818
720	4682	1812
721	4687	1804
722	4691	1797
723	4698	1790
724	4702	1783
725	4707	1776
726	4713	1769
727	4716	1762
728	4718	1754
729	4721	1746
730	4723	1738
731	4731	1732
732	4735	1724
733	4741	1718
734	4754	1714
735	4756	1706
736	4762	1699
737	4766	1692
738	4768	1684
739	4771	1676
740	4773	1668
741	4781	1662
742	4785	1655
743	4789	1648
744	4796	1641
745	4801	1634
746	4806	1627
747	4813	1621
748	4816	1614
749	4818	1606
750	4821	1598
751	4823	1590
752	4831	1584
753	4836	1577
754	4840	1570
755	4843	1563
756	4845	1555
757	4848	1547
758	4853	1541
759	4856	1533
760	4858	1525
761	4861	1518
762	4863	1510
763	4871	1504
764	4875	1497
765	4880	1490
766	4886	1484
767	4891	1477
768	4897	1471
769	4903	1464
770	4906	1457
771	4908	1449
772	4911	1442
773	4913	1434
774	4920	1428
775	4925	1421
776	4930	1415
777	4934	1407
778	4936	1400
779	4939	1393
780	4942	1385
781	4946	1378
782	4950	1371
783	4952	1364
784	4955	1357
785	4957	1349
786	4963	1343
787	4966	1336
788	4971	1329
789	4975	1322
790	4982	1316
791	4985	1309
792	4987	1301
793	4989	1294
794	4992	1287
795	5001	1281
796	5008	1275
797	5015	1269
798	5020	1263
799	5024	1256
800	5031	1250
801	5033	1242
802	5036	1235
803	5038	1228
804	5041	1221
805	5051	1215
806	5053	1208
807	5056	1201
808	5058	1194
809	5065	1188
810	5068	1181
811	5073	1174
812	5079	1168
813	5082	1161
814	5084	1154
815	5086	1146
816	5088	1139
817	5090	1132
818	5094	1125
819	5099	1119
820	5105	1113
821	5111	1106
822	5116	1100
823	5122	1094
824	5128	1087
825	5131	1080
826	5133	1073
827	5136	1066
828	5138	1059
829	5145	1053
830	5148	1047
831	5151	1040
832	5153	1033
833	5156	1026
834	5164	1020
835	5172	1014
836	5179	1008
837	5182	1001
838	5184	994
839	5187	988
840	5189	981
841	5196	975
842	5199	968
843	5201	961
844	5203	954
845	5206	947
846	5215	942
847	5219	935
848	5223	928
849	5229	922
850	5232	916
851	5234	909
852	5237	902
853	5239	895
854	5245	889
855	5261	885
856	5264	878
857	5273	872
858	5279	866
859	5282	859
860	5285	853
861	5288	846
862	5290	839
863	5298	833
864	5302	827
865	5306	821
866	5312	815
867	5318	808
868	5322	802
869	5329	796
870	5331	789
871	5334	783
872	5337	776
873	5339	769
874	5345	763
875	5349	757
876	5351	750
877	5354	743
878	5356	737
879	5362	731
880	5367	725
881	5371	718
882	5379	712
883	5381	706
884	5383	699
885	5386	693
886	5389	686
887	5397	680
888	5399	674
889	5402	667
890	5406	661
891	5413	655
892	5418	649
893	5422	642
894	5428	636
895	5430	630
896	5433	623
897	5435	617
898	5438	610
899	5444	604
900	5446	598
901	5448	592
902	5450	585
903	5452	579
904	5454	572
905	5461	566
906	5469	560
907	5472	554
908	5478	548
909	5481	542
910	5483	535
911	5486	529
912	5488	522
913	5494	517
914	5497	510
915	5500	504
916	5502	498
917	5504	491
918	5511	485
919	5515	479
920	5520	473
921	5526	467
922	5529	461
923	5531	454
924	5533	448
925	5536	442
926	5538	436
927	5545	430
928	5548	424
929	5550	417
930	5553	411
931	5555	405
932	5562	399
933	5566	393
934	5570	387
935	5576	381
936	5579	375
937	5581	368
938	5584	362
939	5586	356
940	5591	350
941	5595	344
942	5598	338
943	5600	332
944	5603	326
945	5610	320
946	5615	314
947	5620	308
948	5629	302
949	5636	296
950	5644	290
951	5647	284
952	5649	278
953	5652	272
954	5654	266
955	5661	260
956	5665	254
957	5669	248
958	5675	242
959	5678	236
960	5680	230
961	5683	224
962	5688	218
963	5692	212
964	5695	206
965	5697	200
966	5700	194
967	5707	188
968	5712	182
969	5720	176
970	5723	170
971	5725	164
972	5728	158
973	5730	152
974	5732	146
975	5739	141
976	5744	135
977	5748	129
978	5754	123
979	5757	117
980	5760	111
981	5762	105
982	5764	99
983	5783	94
984	5790	88
985	5793	82
986	5796	76
987	5798	70
988	5800	64
989	5806	58
990	5808	52
991	5810	46
992	5812	40
993	5814	35
994	5817	29
995	5824	23
996	5832	17
997	5840	11
998	5844	5
999	5848	0
